t_seconds,soc_percent
568,51.207690115987205
569,51.282369124310165
570,51.35705576648731
571,51.431750043299
572,51.50645195552565
573,51.58116150394777
574,51.65587868934595
575,51.73060351250086
576,51.805335974193255
577,51.88007607520395
578,51.95482381631387
579,52.02957919830398
580,52.10434222195537
581,52.179112888049175
582,52.25389119736662
583,52.32867715068902
584,52.40347074879775
585,52.478271992474305
586,52.553080882500204
587,52.627897419657074
588,52.70272160472664
589,52.77755343849068
590,52.85239292173106
591,52.92724005522973
592,53.00209483976871
593,53.07695727613011
594,53.15182736509612
595,53.22670510744899
596,53.301590503971084
597,53.37648355544482
598,53.45138426265271
599,53.526292626377334
600,53.601208647401364
601,53.67613232650754
602,53.75106366447869
603,53.82600266209773
604,53.90094932014763
605,53.97590363941147
606,54.0508656206724
607,54.125835264713615
608,54.200812572318455
609,54.27579754427029
610,54.35079018135259
611,54.425790484348916
612,54.50079845404288
613,54.57581409121819
614,54.65083739665864
615,54.72586837114808
616,54.80090701547047
617,54.875953330409835
618,54.95100731675028
619,55.02606897527599
620,55.10113830677123
621,55.176215312020375
622,55.25129999180783
623,55.3263923469181
624,55.401492378135785
625,55.47660008624554
626,55.551715472032136
627,55.62683853628039
628,55.70196927977521
629,55.77710770330159
630,55.852253807644594
631,55.92740759358937
632,56.00256906192116
633,56.07773821342526
634,56.15291504888709
635,56.22809956909208
636,56.3032917748258
637,56.378491666873884
638,56.45369924602206
639,56.52891451305611
640,56.604137468761884
641,56.67936811392536
642,56.754606449332556
643,56.82985247576959
644,56.90510619402267
645,56.980367604878055
646,57.05563670912211
647,57.13091350754127
648,57.20619800092205
649,57.28149019005103
650,57.356790075714905
651,57.43209765870042
652,57.50741293979442
653,57.58273591978382
654,57.65806659945562
655,57.733404979596905
656,57.80875106099482
657,57.884104844436614
658,57.95946633070961
659,58.03483552060119
660,58.110212414898854
661,58.185597014390154
662,58.26098931986273
663,58.33638933210432
664,58.41179705190272
665,58.487212480045805
666,58.56263561732153
667,58.63806646451797
668,58.71350502242323
669,58.78895129182552
670,58.86440527351313
671,58.93986696827442
672,59.01533637689786
673,59.09081350017193
674,59.166298338885284
675,59.24179089382658
676,59.31729116578461
677,59.392799155548225
678,59.46831486390634
679,59.54383829164799
680,59.61936943956224
681,59.694908308438286
682,59.77045489906537
683,59.84600921223283
684,59.921571248730075
685,59.99714100934661
686,60.072718494872014
687,60.14830370609593
688,60.223896643808104
689,60.29949730879836
690,60.37510570185659
691,60.45072182377278
692,60.52634567533699
693,60.60197725733936
694,60.677616570570116
695,60.753263615819556
696,60.82891839387806
697,60.9045809055361
698,60.98025115158422
699,61.05592913281305
700,61.13161485001329
701,61.207308303975736
702,61.28300949549126
703,61.35871842535079
704,61.43443509434539
705,61.51015950326615
706,61.585891652904266
707,61.66163154405101
708,61.73737917749773
709,61.81313455403588
710,61.888897674456956
711,61.96466853955257
712,62.04044715011439
713,62.11623350693418
714,62.19202761080378
715,62.2678294625151
716,62.34363906286017
717,62.41945641263105
718,62.4952815126199
719,62.57111436361896
720,62.64695496642057
721,62.722803321817146
722,62.798659430601155
723,62.874523293565176
724,62.95039491150185
725,63.02627428520392
726,63.10216141546419
727,63.17805630307555
728,63.25395894883098
729,63.32986935352353
730,63.40578751794633
731,63.481713442892605
732,63.55764712915566
